OD / in,OD / mm,Order Num,Length / in,Length / mm,Rate / lbs per in,Rate / N per mm,Initial Tension / lbs,Initial Tension / N,Sugg. Max. Defl. / in,Sugg. Max. Defl. / mm,Sugg. Max. Load / lbs,Sugg. Max. Load / N,Wire Dia. / in,Wire Dia. / mm,MAT'L,FNSH
0.437,11.10,5345**,3.06,77.8,24,4.2,8,35,.88,22,29,130,0.072,1.83,SPR,Z
0.437,11.10,S-622,3.13,79.4,19,3.3,8,33,1.1,27,28,123,0.072,1.83,SST,N
0.437,11.10,465,3.19,81.0,1.2,.20,.8,3,4.4,112,5.9,26,0.042,1.07,SPR,Z
0.437,11.10,5672,3.19,81.0,2.5,.44,1,6,3.0,77,9.0,40,0.048,1.22,SPR,Z
0.437,11.10,6072***,3.31,84.1,11,1.9,4,16,1.3,32,17,76,0.060,1.52,SPR,N
0.437,11.10,5384,3.38,85.7,4.3,.75,2,10,2.3,59,12,55,0.054,1.37,SPR,Z
0.437,11.10,B2-69***,3.38,85.7,8.6,1.5,4,18,1.7,44,19,85,0.062,1.57,SPR,N
0.437,11.10,644,3.50,88.9,2.0,.35,1,6,3.6,92,8.4,37,0.047,1.19,HD,Z
0.437,11.10,5226,3.50,88.9,2.6,.46,2,7,3.0,76,9.6,43,0.050,1.27,SPR,Z
0.437,11.10,640,3.50,88.9,4.0,.71,2,10,2.5,63,12,55,0.054,1.37,HD,Z
0.437,11.10,5566,3.56,90.5,2.7,.47,2,7,3.0,76,9.6,43,0.050,1.27,SPR,Z
0.437,11.10,5671,3.63,92.1,2.1,.37,1,6,3.6,91,9.0,40,0.048,1.22,SPR,Z
0.437,11.10,5546,3.88,98.4,2.5,.44,2,8,3.3,85,10,46,0.051,1.30,SPR,Z
0.437,11.10,5673,3.94,100.0,1.8,.31,1,6,4.1,103,8.4,37,0.047,1.19,SPR,Z
0.437,11.10,S-578,4.00,101.6,3.1,.53,2,10,3.1,79,12,52,0.054,1.37,SST,N
0.437,11.10,5373,4.31,109.5,1.5,.27,1,6,4.7,120,8.4,37,0.047,1.19,SPR,Z
0.437,11.10,5165,4.44,112.7,1.5,.26,1,6,4.8,123,8.4,37,0.047,1.19,HD,Z
0.437,11.10,304,4.50,114.3,.09,.02,.1,.6,25,638,2.5,11,0.028,0.71,MW,Z
0.437,11.10,106,4.50,114.3,.68,.12,.7,3,7.0,179,5.5,24,0.041,1.04,SPR,Z
0.437,11.10,5596,5.81,147.6,2.5,.44,2,11,4.2,106,13,58,0.055,1.40,SPR,Z
0.437,11.10,12341,5.81,147.6,4.3,.75,4,17,3.3,85,18,81,0.061,1.55,SPR,N
0.437,11.10,12340,5.88,149.2,4.6,.81,4,18,3.2,82,19,85,0.062,1.57,SPR,N
0.437,11.10,82,6.00,152.4,4.7,.82,4,18,3.2,81,19,85,0.062,1.57,HD,Z
0.437,11.10,206,7.00,177.8,3.9,.68,4,18,3.9,98,19,85,0.062,1.57,HD,Z
0.437,11.10,583,7.50,190.5,2.1,.36,3,12,5.4,136,14,61,0.056,1.42,SPR,Z
0.437,11.10,5666,8.00,203.2,1.6,.28,2,10,6.2,157,12,55,0.054,1.37,SPR,Z
0.437,11.10,119,8.50,215.9,.73,.13,1,6,9.9,251,8.4,37,0.047,1.19,HD,Z
0.437,11.10,120,8.50,215.9,1.5,.26,2,10,6.7,170,12,55,0.054,1.37,HD,Z
0.437,11.10,121,8.50,215.9,7.3,1.3,8,35,2.9,74,29,130,0.072,1.83,HD,Z
0.437,11.10,204,9.50,241.3,2.8,.50,4,18,5.3,134,19,85,0.062,1.57,HD,Z
0.437,11.10,207,10.3,260.4,.28,.05,.7,3,17,439,5.5,24,0.041,1.04,SPR,Z
0.453,11.51,482,1.19,30.2,.78,.14,.2,1,4.3,108,3.6,16,0.032,0.81,MW,Z
0.453,11.51,5383***,1.25,31.8,7.8,1.4,.5,2,.52,13,4.6,20,0.039,0.99,SPR,Z
0.453,11.51,474,1.38,34.9,23,4.0,3,15,.58,15,16,73,0.060,1.52,SPR,Z
0.453,11.51,483,2.25,57.2,3.0,.52,1,5,2.3,60,8.1,36,0.047,1.19,SPR,Z
0.453,11.51,5631***,3.25,82.6,2.6,.46,.7,3,1.8,45,5.4,24,0.041,1.04,SPR,Z
0.453,11.51,12337,3.88,98.4,2.0,.36,2,7,3.8,96,9.2,41,0.050,1.27,SPR,Z
0.453,11.51,5473,6.00,152.4,4.2,.74,4,17,3.4,87,18,81,0.062,1.57,SPR,Z
0.453,11.51,5816,6.75,171.5,.83,.15,1,5,8.3,211,8.1,36,0.047,1.19,HD,Z
0.468,11.89,496,2.00,50.8,4.2,.73,1,6,1.8,46,8.9,40,0.050,1.27,SPR,Z
0.468,11.89,B3-22***,2.25,57.2,11,2.0,4,16,1.8,45,23,104,0.062,1.57,MW,N
0.468,11.89,5077,2.33,59.1,46,8.0,11,48,.59,15,38,168,0.080,2.03,HD,Z
0.468,11.89,6068,3.44,87.3,6.7,1.2,4,16,2.1,54,18,78,0.062,1.57,SPR,Z
0.468,11.89,5332***,3.44,87.3,8.1,1.4,4,17,1.8,46,18,82,0.063,1.60,SPR,Z
0.468,11.89,5412,4.00,101.6,9.1,1.6,5,22,1.9,48,22,98,0.067,1.70,SPR,Z
0.468,11.89,302,4.50,114.3,.54,.09,.6,3,8.5,217,5.2,23,0.041,1.04,HD,Z
0.468,11.89,S-640,4.72,119.8,9.5,1.7,6,28,2.0,51,25,113,0.072,1.83,SST,N
0.468,11.89,5544***,5.25,133.4,5.0,.88,4,17,2.9,75,18,82,0.063,1.60,SPR,Z
0.469,11.91,6106,16.4,416,1.2,.21,.00,.00,12,297,14,62,0.062,1.57,HD,Z
0.484,12.29,5177,1.75,44.5,37,6.4,6,28,.53,13,26,114,0.072,1.83,HD,Z
0.484,12.29,5277,3.13,79.4,16,2.9,6,28,1.2,30,26,114,0.072,1.83,SPR,Z
0.484,12.29,5576***,5.75,146.1,1.2,.21,1,4,5.4,138,7.5,33,0.047,1.19,SPR,Z
0.500,12.70,M-52***,1.00,25.4,.58,.10,.1,.5,2.6,67,1.7,7.4,0.029,0.74,SST,N
0.500,12.70,80671,1.00,25.4,22,3.8,.7,3,.36,9.2,8.6,38,0.045,1.14,MW,N
0.500,12.70,80671S,1.00,25.4,19,3.2,.6,3,.29,7.3,5.9,26,0.045,1.14,SST,N
0.500,12.70,5234,1.00,25.4,138,24,9,41,.19,4.7,35,154,0.080,2.03,SPR,Z
0.500,12.70,80639,1.25,31.8,2.1,.38,.3,1,1.7,43,3.9,18,0.034,0.86,MW,N
0.500,12.70,80639S,1.25,31.8,1.8,.32,.3,1,1.3,34,2.7,12,0.034,0.86,SST,N
0.500,12.70,80645,1.25,31.8,2.9,.51,.4,2,1.5,39,4.8,22,0.037,0.94,MW,N
0.500,12.70,80645S,1.25,31.8,2.5,.43,.3,2,1.2,31,3.3,15,0.037,0.94,SST,N
0.500,12.70,80658,1.25,31.8,4.9,.85,.5,2,1.2,31,6.5,29,0.041,1.04,MW,N
0.500,12.70,80658S,1.25,31.8,4.1,.72,.4,2,.98,25,4.5,20,0.041,1.04,SST,N
0.500,12.70,6011,1.25,31.8,2.2,.39,.5,2,1.8,46,4.5,20,0.041,1.04,SST,N
0.500,12.70,80672,1.25,31.8,8.5,1.5,.7,3,.93,24,8.6,38,0.045,1.14,MW,N
0.500,12.70,80672S,1.25,31.8,7.2,1.3,.6,3,.74,19,5.9,26,0.045,1.14,SST,N
0.500,12.70,80685,1.25,31.8,13,2.3,.9,4,.78,20,11,48,0.049,1.24,MW,N
0.500,12.70,80685S,1.25,31.8,11,1.9,.7,3,.61,16,7.5,33,0.049,1.24,SST,N
0.500,12.70,80698,1.25,31.8,23,3.9,1,6,.58,15,14,64,0.055,1.40,MW,N
0.500,12.70,80698S,1.25,31.8,19,3.4,1,5,.46,12,9.9,44,0.055,1.40,SST,N
0.500,12.70,80711,1.25,31.8,44,7.7,2,8,.45,11,21,95,0.063,1.60,MW,N
0.500,12.70,80711S,1.25,31.8,37,6.5,2,7,.35,8.9,15,65,0.063,1.60,SST,N
0.500,12.70,6022,1.25,31.8,21,3.7,3,14,.62,16,16,72,0.063,1.60,SST,N
0.500,12.70,80724,1.25,31.8,55,9.7,4,16,.42,11,27,120,0.067,1.70,MW,N
0.500,12.70,80724S,1.25,31.8,47,8.2,3,13,.33,8.5,19,83,0.067,1.70,SST,N
0.500,12.70,80736,1.25,31.8,74,13,2,10,.34,8.7,28,123,0.069,1.75,MW,N
0.500,12.70,80736S,1.25,31.8,63,11,2,8,.27,6.9,19,84,0.069,1.75,SST,N
0.500,12.70,80749,1.25,31.8,108,19,3,12,.28,7.2,33,147,0.075,1.91,MW,N
0.500,12.70,80749S,1.25,31.8,92,16,2,10,.22,5.6,22,100,0.075,1.91,SST,N
0.500,12.70,5367,1.25,31.8,99,17,9,41,.26,6.5,35,154,0.080,2.03,SPR,Z
0.500,12.70,5786,1.31,33.3,17,3.0,3,13,.73,18,15,68,0.062,1.57,SST,N
0.500,12.70,B7-69,1.34,34.1,1.9,.34,.5,2,2.1,53,4.5,20,0.040,1.02,SPR,N
0.500,12.70,80640,1.38,34.9,1.6,.27,.3,1,2.3,59,3.9,18,0.034,0.86,MW,N
0.500,12.70,80640S,1.38,34.9,1.3,.23,.3,1,1.8,46,2.7,12,0.034,0.86,SST,N
0.500,12.70,80646,1.38,34.9,2.2,.38,.4,2,2.1,52,4.8,22,0.037,0.94,MW,N
0.500,12.70,6008,1.38,34.9,1.1,.19,.3,1,2.7,69,3.3,15,0.037,0.94,SST,N
0.500,12.70,80659,1.38,34.9,3.7,.64,.5,2,1.6,42,6.5,29,0.041,1.04,MW,N
0.500,12.70,80659S,1.38,34.9,3.1,.54,.4,2,1.3,33,4.5,20,0.041,1.04,SST,N
0.500,12.70,B1-46,1.38,34.9,2.6,.45,.5,2,1.9,49,5.4,24,0.044,1.12,SST,N
0.500,12.70,80673,1.38,34.9,5.7,.99,.7,3,1.4,36,8.6,38,0.045,1.14,MW,N
0.500,12.70,6013,1.38,34.9,3.0,.53,.7,3,1.7,44,6.1,27,0.045,1.14,SST,N
0.500,12.70,80686,1.38,34.9,10,1.8,.9,4,.99,25,11,48,0.049,1.24,MW,N
0.500,12.70,80686S,1.38,34.9,8.6,1.5,.7,3,.78,20,7.5,33,0.049,1.24,SST,N
0.500,12.70,80699,1.38,34.9,16,2.7,1,6,.84,21,14,64,0.055,1.40,MW,N
0.500,12.70,80699S,1.38,34.9,13,2.3,1,5,.66,17,9.9,44,0.055,1.40,SST,N
0.500,12.70,80712,1.38,34.9,31,5.5,2,8,.62,16,21,95,0.063,1.60,MW,N
0.500,12.70,80712S,1.38,34.9,27,4.7,2,7,.49,13,15,65,0.063,1.60,SST,N
0.500,12.70,5879,1.38,34.9,20,3.6,3,14,.68,17,17,76,0.063,1.60,SPR,N
0.500,12.70,80737,1.38,34.9,54,9.5,2,10,.47,12,28,123,0.069,1.75,MW,N
0.500,12.70,80737S,1.38,34.9,46,8.1,2,8,.37,9.4,19,84,0.069,1.75,SST,N
0.500,12.70,80750,1.38,34.9,85,15,3,12,.36,9.1,33,147,0.075,1.91,MW,N
0.500,12.70,80750S,1.38,34.9,72,13,2,10,.28,7.1,22,100,0.075,1.91,SST,N
0.500,12.70,732,1.38,34.9,84,15,9,41,.31,7.8,35,154,0.080,2.03,HD,Z
0.500,12.70,543,1.44,36.5,19,3.3,3,12,.64,16,15,65,0.060,1.52,SPR,Z
0.500,12.70,ZZ3-32,1.44,36.5,49,8.6,6,26,.38,9.7,25,110,0.072,1.83,SPR,GI
0.500,12.70,80641,1.50,38.1,1.2,.21,.3,1,3.0,77,3.9,18,0.034,0.86,MW,N
0.500,12.70,80641S,1.50,38.1,1.0,.18,.3,1,2.4,60,2.7,12,0.034,0.86,SST,N
0.500,12.70,80647,1.50,38.1,1.7,.30,.4,2,2.6,66,4.8,22,0.037,0.94,MW,N
0.500,12.70,6009,1.50,38.1,.95,.17,.3,1,3.1,80,3.3,15,0.037,0.94,SST,N
0.500,12.70,80660,1.50,38.1,2.9,.51,.5,2,2.1,53,6.5,29,0.041,1.04,MW,N
0.500,12.70,80660S,1.50,38.1,2.5,.43,.4,2,1.6,42,4.5,20,0.041,1.04,SST,N
0.500,12.70,80674,1.50,38.1,4.7,.81,.7,3,1.7,43,8.6,38,0.045,1.14,MW,N
0.500,12.70,80674S,1.50,38.1,4.0,.69,.6,3,1.3,34,5.9,26,0.045,1.14,SST,N
0.500,12.70,80687,1.50,38.1,7.5,1.3,.9,4,1.3,34,11,48,0.049,1.24,MW,N
0.500,12.70,80687S,1.50,38.1,6.4,1.1,.7,3,1.0,27,7.5,33,0.049,1.24,SST,N
0.500,12.70,S-606,1.50,38.1,7.3,1.3,2,7,1.1,29,9.9,44,0.054,1.37,SST,N
0.500,12.70,80700,1.50,38.1,13,2.3,1,6,1.0,26,14,64,0.055,1.40,MW,N
0.500,12.70,80700S,1.50,38.1,11,1.9,1,5,.80,20,9.9,44,0.055,1.40,SST,N
0.500,12.70,80713,1.50,38.1,26,4.5,2,8,.76,19,21,95,0.063,1.60,MW,N
0.500,12.70,80713S,1.50,38.1,22,3.8,2,7,.60,15,15,65,0.063,1.60,SST,N
0.500,12.70,80725,1.50,38.1,36,6.2,4,16,.66,17,27,120,0.067,1.70,MW,N
0.500,12.70,80725S,1.50,38.1,30,5.3,3,13,.52,13,19,83,0.067,1.70,SST,N
0.500,12.70,80738,1.50,38.1,45,7.9,2,10,.56,14,28,123,0.069,1.75,MW,N
0.500,12.70,80738S,1.50,38.1,38,6.7,2,8,.44,11,19,84,0.069,1.75,SST,N
0.500,12.70,80751,1.50,38.1,70,12,3,12,.44,11,33,147,0.075,1.91,MW,N
0.500,12.70,80751S,1.50,38.1,59,10,2,10,.34,8.6,22,100,0.075,1.91,SST,N
0.500,12.70,ZZ1-58,1.50,38.1,63,11,7,32,.35,8.9,29,131,0.076,1.93,SPR,Z
0.500,12.70,6079,1.54,39.1,178,31,17,75,.20,5.2,53,238,0.092,2.34,SPR,GI
0.500,12.70,5928,1.63,41.3,.95,.17,.3,2,3.4,85,3.5,16,0.037,0.94,SPR,Z
0.500,12.70,6010,1.63,41.3,.84,.15,.3,1,3.6,90,3.3,15,0.037,0.94,SST,N
0.500,12.70,5868,1.63,41.3,1.6,.28,.5,2,2.7,68,4.8,21,0.041,1.04,SPR,Z
0.500,12.70,6014,1.63,41.3,2.3,.41,.7,3,2.3,58,6.1,27,0.045,1.14,SST,N
0.500,12.70,B5-42,1.63,41.3,2.6,.46,.8,3,2.1,55,6.4,29,0.045,1.14,SPR,N
0.500,12.70,5931,1.63,41.3,7.6,1.3,2,8,1.2,31,11,49,0.055,1.40,SPR,Z
0.500,12.70,197,1.63,41.3,17,3.0,3,13,.78,20,16,72,0.062,1.57,HD,Z
0.500,12.70,681,1.63,41.3,66,12,9,41,.39,9.8,35,154,0.080,2.03,HD,Z
0.500,12.70,473,1.66,42.1,18,3.1,3,15,.81,21,18,80,0.064,1.63,SPR,Z
0.500,12.70,80642,1.75,44.5,.80,.14,.3,1,4.6,116,3.9,18,0.034,0.86,MW,N
0.500,12.70,80642S,1.75,44.5,.68,.12,.3,1,3.6,91,2.7,12,0.034,0.86,SST,N
0.500,12.70,B6-70,1.75,44.5,.73,.13,.3,1,4.0,101,3.2,14,0.036,0.91,SPR,GI
0.500,12.70,80648,1.75,44.5,1.2,.21,.4,2,3.7,94,4.8,22,0.037,0.94,MW,N
0.500,12.70,80648S,1.75,44.5,1.0,.18,.3,2,2.9,74,3.3,15,0.037,0.94,SST,N
0.500,12.70,5929,1.75,44.5,.85,.15,.3,2,3.7,95,3.5,16,0.037,0.94,SPR,Z
0.500,12.70,80661,1.75,44.5,2.1,.36,.5,2,2.9,75,6.5,29,0.041,1.04,MW,N
0.500,12.70,80661S,1.75,44.5,1.7,.31,.4,2,2.3,59,4.5,20,0.041,1.04,SST,N
0.500,12.70,6012,1.75,44.5,1.3,.22,.5,2,3.1,80,4.5,20,0.041,1.04,SST,N
0.500,12.70,80675,1.75,44.5,3.4,.59,.7,3,2.4,60,8.6,38,0.045,1.14,MW,N
0.500,12.70,6015,1.75,44.5,2.1,.37,.7,3,2.5,65,6.1,27,0.045,1.14,SST,N
0.500,12.70,80688,1.75,44.5,5.3,.93,.9,4,1.9,48,11,48,0.049,1.24,MW,N
0.500,12.70,80688S,1.75,44.5,4.5,.79,.7,3,1.5,38,7.5,33,0.049,1.24,SST,N
0.500,12.70,80701,1.75,44.5,9.2,1.6,1,6,1.4,36,14,64,0.055,1.40,MW,N
0.500,12.70,80701S,1.75,44.5,7.8,1.4,1,5,1.1,29,9.9,44,0.055,1.40,SST,N
0.500,12.70,5932,1.75,44.5,6.8,1.2,2,8,1.4,35,11,49,0.055,1.40,SPR,Z
0.500,12.70,5703,1.75,44.5,17,3.0,3,13,.78,20,16,72,0.062,1.57,SPR,GI
0.500,12.70,80714,1.75,44.5,19,3.3,2,8,1.0,26,21,95,0.063,1.60,MW,N
0.500,12.70,80714S,1.75,44.5,16,2.8,2,7,.82,21,15,65,0.063,1.60,SST,N
0.500,12.70,5936,1.75,44.5,14,2.5,3,14,.98,25,17,76,0.063,1.60,SPR,Z
0.500,12.70,80726,1.75,44.5,26,4.6,4,16,.89,23,27,120,0.067,1.70,MW,N
0.500,12.70,80726S,1.75,44.5,22,3.9,3,13,.70,18,19,83,0.067,1.70,SST,N
0.500,12.70,80739,1.75,44.5,31,5.5,2,10,.81,21,28,123,0.069,1.75,MW,N
0.500,12.70,80739S,1.75,44.5,27,4.7,2,8,.64,16,19,84,0.069,1.75,SST,N
0.500,12.70,80752,1.75,44.5,49,8.7,3,12,.61,16,33,147,0.075,1.91,MW,N
0.500,12.70,80752S,1.75,44.5,42,7.4,2,10,.48,12,22,100,0.075,1.91,SST,N
0.500,12.70,B1-42,1.81,46.0,16,2.8,3,14,.87,22,17,76,0.063,1.60,SPR,N
0.500,12.70,5233,1.88,47.6,1.4,.25,.5,2,3.0,75,4.8,21,0.041,1.04,SPR,N
0.500,12.70,5872,1.88,47.6,6.2,1.1,2,8,1.5,38,11,49,0.055,1.40,SPR,Z
0.500,12.70,6023,1.88,47.6,11,2.0,3,14,1.2,29,16,72,0.063,1.60,SST,N
0.500,12.70,5572,1.88,47.6,88,15,14,62,.38,9.7,48,211,0.088,2.24,SPR,Z
0.500,12.70,S-610,1.94,49.2,12,2.0,3,14,1.1,29,16,72,0.063,1.60,SST,N
0.500,12.70,682,1.94,49.2,48,8.4,9,41,.53,14,35,154,0.080,2.03,HD,Z
0.500,12.70,80643,2.00,50.8,.61,.11,.3,1,6.0,153,3.9,18,0.034,0.86,MW,N
0.500,12.70,80643S,2.00,50.8,.51,.09,.3,1,4.7,119,2.7,12,0.034,0.86,SST,N
0.500,12.70,ZZ3-44,2.00,50.8,.88,.15,.3,2,3.6,92,3.5,16,0.037,0.94,SPR,Z
0.500,12.70,80649,2.00,50.8,.95,.17,.4,2,4.7,119,4.8,22,0.037,0.94,MW,N
0.500,12.70,80649S,2.00,50.8,.81,.14,.3,2,3.7,94,3.3,15,0.037,0.94,SST,N
0.500,12.70,80662,2.00,50.8,1.6,.27,.5,2,3.9,99,6.5,29,0.041,1.04,MW,N
0.500,12.70,80662S,2.00,50.8,1.3,.23,.4,2,3.1,78,4.5,20,0.041,1.04,SST,N
0.500,12.70,80676,2.00,50.8,2.6,.46,.7,3,3.0,77,8.6,38,0.045,1.14,MW,N
0.500,12.70,80676S,2.00,50.8,2.2,.39,.6,3,2.4,61,5.9,26,0.045,1.14,SST,N
0.500,12.70,80689,2.00,50.8,4.1,.72,.9,4,2.4,62,11,48,0.049,1.24,MW,N
0.500,12.70,80689S,2.00,50.8,3.5,.61,.7,3,1.9,49,7.5,33,0.049,1.24,SST,N
0.500,12.70,80702,2.00,50.8,7.4,1.3,1,6,1.8,45,14,64,0.055,1.40,MW,N
0.500,12.70,80702S,2.00,50.8,6.3,1.1,1,5,1.4,36,9.9,44,0.055,1.40,SST,N
0.500,12.70,5873,2.00,50.8,5.6,.99,2,8,1.6,42,11,49,0.055,1.40,SPR,Z
0.500,12.70,5258,2.00,50.8,13,2.3,3,13,1.0,26,16,72,0.062,1.57,HD,Z
0.500,12.70,80715,2.00,50.8,15,2.6,2,8,1.3,33,21,95,0.063,1.60,MW,N
0.500,12.70,80715S,2.00,50.8,13,2.2,2,7,1.0,26,15,65,0.063,1.60,SST,N
0.500,12.70,5689,2.00,50.8,18,3.1,4,16,.85,22,19,84,0.065,1.65,SPR,Z
0.500,12.70,80727,2.00,50.8,21,3.6,4,16,1.1,29,27,120,0.067,1.70,MW,N
0.500,12.70,80727S,2.00,50.8,18,3.1,3,13,.89,23,19,83,0.067,1.70,SST,N
0.500,12.70,80740,2.00,50.8,25,4.3,2,10,1.0,26,28,123,0.069,1.75,MW,N
0.500,12.70,80740S,2.00,50.8,21,3.7,2,8,.81,21,19,84,0.069,1.75,SST,N
0.500,12.70,5538,2.00,50.8,23,4.0,6,26,.82,21,25,110,0.072,1.83,HD,Z
0.500,12.70,80753,2.00,50.8,38,6.7,3,12,.79,20,33,147,0.075,1.91,MW,N
0.500,12.70,80753S,2.00,50.8,32,5.7,2,10,.62,16,22,100,0.075,1.91,SST,N
0.500,12.70,B1-61,2.03,51.6,2.5,.44,.8,4,2.2,57,6.4,28,0.046,1.17,SST,N
0.500,12.70,5288,2.13,54.0,2.2,.39,.8,3,2.5,64,6.4,29,0.045,1.14,SPR,GI
0.500,12.70,6016,2.13,54.0,1.6,.28,.7,3,3.3,85,6.1,27,0.045,1.14,SST,N
0.500,12.70,5933,2.13,54.0,5.2,.91,2,8,1.8,45,11,49,0.055,1.40,SPR,Z
0.500,12.70,B1-57,2.13,54.0,14,2.4,3,15,1.0,27,18,80,0.064,1.63,SPR,N
0.500,12.70,5823,2.19,55.6,4.1,.73,2,7,2.0,51,9.9,44,0.054,1.37,SST,N
0.500,12.70,683,2.19,55.6,42,7.3,9,41,.61,16,35,154,0.080,2.03,HD,Z
0.500,12.70,M-123,2.22,56.4,19,3.4,5,24,.95,24,24,107,0.071,1.80,SPR,N
0.500,12.70,80644,2.25,57.2,.50,.09,.3,1,7.3,185,3.9,18,0.034,0.86,MW,N
0.500,12.70,80644S,2.25,57.2,.42,.07,.3,1,5.7,145,2.7,12,0.034,0.86,SST,N
0.500,12.70,5469,2.25,57.2,.47,.08,.3,1,5.8,146,3.0,13,0.035,0.89,SPR,Z
0.500,12.70,80650,2.25,57.2,.78,.14,.4,2,5.7,144,4.8,22,0.037,0.94,MW,N
0.500,12.70,80650S,2.25,57.2,.67,.12,.3,2,4.5,114,3.3,15,0.037,0.94,SST,N
0.500,12.70,80663,2.25,57.2,1.3,.23,.5,2,4.6,117,6.5,29,0.041,1.04,MW,N
0.500,12.70,80663S,2.25,57.2,1.1,.19,.4,2,3.7,93,4.5,20,0.041,1.04,SST,N
0.500,12.70,5869,2.25,57.2,1.0,.18,.5,2,4.2,107,4.8,21,0.041,1.04,SPR,Z
0.500,12.70,80677,2.25,57.2,2.1,.37,.7,3,3.8,96,8.6,38,0.045,1.14,MW,N
0.500,12.70,5871,2.25,57.2,1.7,.29,.8,3,3.4,87,6.4,29,0.045,1.14,SPR,Z
0.500,12.70,6017,2.25,57.2,1.5,.26,.7,3,3.6,92,6.1,27,0.045,1.14,SST,N
0.500,12.70,B1-59,2.25,57.2,2.2,.39,.9,4,2.7,68,6.8,30,0.046,1.17,SPR,N
0.500,12.70,5930,2.25,57.2,2.1,.37,.9,4,3.0,77,7.2,32,0.047,1.19,SPR,Z
0.500,12.70,80690,2.25,57.2,3.4,.59,.9,4,3.0,76,11,48,0.049,1.24,MW,N
0.500,12.70,80690S,2.25,57.2,2.8,.50,.7,3,2.4,60,7.5,33,0.049,1.24,SST,N
0.500,12.70,80703,2.25,57.2,6.1,1.1,1,6,2.2,55,14,64,0.055,1.40,MW,N
0.500,12.70,6018,2.25,57.2,4.3,.75,2,8,2.1,52,11,47,0.055,1.40,SST,N
0.500,12.70,80716,2.25,57.2,12,2.1,2,8,1.6,41,21,95,0.063,1.60,MW,N
0.500,12.70,80716S,2.25,57.2,10,1.8,2,7,1.3,32,15,65,0.063,1.60,SST,N
0.500,12.70,5937,2.25,57.2,10,1.7,3,14,1.4,35,17,76,0.063,1.60,SPR,Z
0.500,12.70,80728,2.25,57.2,17,3.0,4,16,1.4,35,27,120,0.067,1.70,MW,N
0.500,12.70,80728S,2.25,57.2,15,2.6,3,13,1.1,27,19,83,0.067,1.70,SST,N
0.500,12.70,80741,2.25,57.2,20,3.6,2,10,1.3,32,28,123,0.069,1.75,MW,N
0.500,12.70,80741S,2.25,57.2,17,3.0,2,8,.99,25,19,84,0.069,1.75,SST,N
0.500,12.70,80754,2.25,57.2,32,5.6,3,12,.95,24,33,147,0.075,1.91,MW,N
0.500,12.70,80754S,2.25,57.2,27,4.8,2,10,.74,19,22,100,0.075,1.91,SST,N
0.500,12.70,ZZ1-68,2.31,58.7,1.1,.19,.5,2,3.7,94,4.5,20,0.041,1.04,SST,N
0.500,12.70,5534,2.31,58.7,4.9,.86,2,8,1.9,48,11,49,0.055,1.40,SPR,Z
0.500,12.70,B1-29,2.34,59.5,6.9,1.2,2,10,1.6,40,13,58,0.058,1.47,SPR,N
0.500,12.70,6019,2.38,60.3,4.0,.70,2,8,2.2,56,11,47,0.055,1.40,SST,N
0.500,12.70,5440,2.41,61.1,2.0,.36,.9,4,3.1,79,7.2,32,0.047,1.19,SPR,Z
0.500,12.70,5340***,2.41,61.1,5.3,.93,2,8,1.7,44,11,49,0.055,1.40,SPR,Z
0.500,12.70,5795,2.44,61.9,9.0,1.6,3,13,1.4,35,15,68,0.062,1.57,SST,N
0.500,12.70,80651,2.50,63.5,.70,.12,.4,2,6.3,161,4.8,22,0.037,0.94,MW,N
0.500,12.70,80651S,2.50,63.5,.60,.10,.3,2,5.0,127,3.3,15,0.037,0.94,SST,N
0.500,12.70,80664,2.50,63.5,1.1,.19,.5,2,5.4,138,6.5,29,0.041,1.04,MW,N
0.500,12.70,80664S,2.50,63.5,.94,.16,.4,2,4.3,109,4.5,20,0.041,1.04,SST,N
0.500,12.70,80678,2.50,63.5,1.8,.32,.7,3,4.4,112,8.6,38,0.045,1.14,MW,N
0.500,12.70,80678S,2.50,63.5,1.5,.27,.6,3,3.5,88,5.9,26,0.045,1.14,SST,N
0.500,12.70,214,2.50,63.5,1.9,.34,.9,4,3.3,83,7.2,32,0.047,1.19,HD,Z
0.500,12.70,80691,2.50,63.5,2.8,.49,.9,4,3.6,91,11,48,0.049,1.24,MW,N
0.500,12.70,80691S,2.50,63.5,2.4,.42,.7,3,2.8,72,7.5,33,0.049,1.24,SST,N
0.500,12.70,S-579,2.50,63.5,3.4,.59,2,7,2.5,63,9.9,44,0.054,1.37,SST,N
0.500,12.70,80704,2.50,63.5,5.2,.90,1,6,2.5,65,14,64,0.055,1.40,MW,N
0.500,12.70,80704S,2.50,63.5,4.4,.77,1,5,2.0,51,9.9,44,0.055,1.40,SST,N
0.500,12.70,5874,2.50,63.5,4.2,.74,2,8,2.2,56,11,49,0.055,1.40,SPR,Z
0.500,12.70,80717,2.50,63.5,11,1.8,2,8,1.9,47,21,95,0.063,1.60,MW,N
0.500,12.70,80717S,2.50,63.5,9.0,1.6,2,7,1.5,37,15,65,0.063,1.60,SST,N
0.500,12.70,80729,2.50,63.5,15,2.6,4,16,1.6,40,27,120,0.067,1.70,MW,N
0.500,12.70,80729S,2.50,63.5,12,2.2,3,13,1.3,32,19,83,0.067,1.70,SST,N
0.500,12.70,80742,2.50,63.5,17,3.0,2,10,1.5,37,28,123,0.069,1.75,MW,N
